threshold,TP,TN,FP,FN,,recall,precision,,False Positive Rate,True Positive Rate
0,1586,0,21774,0,,1,0.0678938356,,1,1
0.01,1586,5,21769,0,,1,0.0679083708,,0.9997703683,1
0.02,1586,66,21708,0,,1,0.0680862025,,0.9969688619,1
0.03,1586,206,21568,0,,1,0.0684978837,,0.9905391752,1
0.04,1563,344,21430,23,,0.9854981084,0.0679772105,,0.984201341,0.9854981084
0.05,1563,402,21372,23,,0.9854981084,0.0681491171,,0.9815376137,0.9854981084
0.06,1558,614,21160,28,,0.9823455233,0.0685799806,,0.9718012308,0.9823455233
0.07,1548,963,20811,38,,0.9760403531,0.0692338656,,0.9557729402,0.9760403531
0.08,1548,1149,20625,38,,0.9760403531,0.0698146394,,0.9472306421,0.9760403531
0.09,1520,2132,19642,66,,0.9583858764,0.0718268595,,0.9020850556,0.9583858764
0.1,1520,2179,19595,66,,0.9583858764,0.0719867393,,0.8999265179,0.9583858764
0.11,1520,2252,19522,66,,0.9583858764,0.0722364794,,0.8965738955,0.9583858764
0.12,1520,2297,19477,66,,0.9583858764,0.072391294,,0.8945072104,0.9583858764
0.13,1456,8097,13677,130,,0.9180327869,0.096213573,,0.6281344723,0.9180327869
0.14,1452,8222,13552,134,,0.9155107188,0.0967741935,,0.6223936805,0.9155107188
0.15,1452,8301,13473,134,,0.9155107188,0.0972864322,,0.6187655001,0.9155107188
0.16,1450,8358,13416,136,,0.9142496847,0.0975380062,,0.6161476991,0.9142496847
0.17,1450,8441,13333,136,,0.9142496847,0.0980856389,,0.6123358134,0.9142496847
0.18,1450,8476,13298,136,,0.9142496847,0.0983184161,,0.6107283917,0.9142496847
0.19,1378,9570,12204,208,,0.868852459,0.1014578118,,0.5604849821,0.868852459
0.2,1378,9649,12125,208,,0.868852459,0.102051396,,0.5568568017,0.868852459
0.21,1378,9673,12101,208,,0.868852459,0.1022331033,,0.5557545697,0.868852459
0.22,1378,9707,12067,208,,0.868852459,0.1024916326,,0.5541930743,0.868852459
0.23,1378,9893,11881,208,,0.868852459,0.1039294064,,0.5456507762,0.868852459
0.24,1377,9971,11803,209,,0.868221942,0.1044764795,,0.5420685221,0.868221942
0.25,1336,15089,6685,250,,0.842370744,0.1665627727,,0.3070175439,0.842370744
0.26,1336,15157,6617,250,,0.842370744,0.1679869232,,0.3038945531,0.842370744
0.27,1336,15268,6506,250,,0.842370744,0.1703647029,,0.29879673,0.842370744
0.28,1331,15302,6472,255,,0.8392181589,0.1705754197,,0.2972352347,0.8392181589
0.29,1317,15488,6286,269,,0.8303909206,0.1732210969,,0.2886929365,0.8303909206
0.3,1280,15558,6216,306,,0.8070617907,0.1707577375,,0.2854780931,0.8070617907
0.31,1270,15650,6124,316,,0.8007566204,0.1717608872,,0.2812528704,0.8007566204
0.32,1263,15774,6000,323,,0.7963430013,0.1738950847,,0.275558005,0.7963430013
0.33,1263,15788,5986,323,,0.7963430013,0.1742309284,,0.2749150363,0.7963430013
0.34,1263,15856,5918,323,,0.7963430013,0.1758807965,,0.2717920456,0.7963430013
0.35,1263,15957,5817,323,,0.7963430013,0.1783898305,,0.2671534858,0.7963430013
0.36,1263,15985,5789,323,,0.7963430013,0.1790981282,,0.2658675485,0.7963430013
0.37,1263,16012,5762,323,,0.7963430013,0.1797864769,,0.2646275374,0.7963430013
0.38,1256,16528,5246,330,,0.7919293821,0.1931713319,,0.240929549,0.7919293821
0.39,1256,16562,5212,330,,0.7919293821,0.1941867656,,0.2393680536,0.7919293821
0.4,1256,16579,5195,330,,0.7919293821,0.1946984964,,0.238587306,0.7919293821
0.41,1256,16590,5184,330,,0.7919293821,0.1950310559,,0.2380821163,0.7919293821
0.42,1200,16869,4905,386,,0.7566204288,0.1965601966,,0.2252686691,0.7566204288
0.43,1188,16878,4896,398,,0.7490542245,0.1952662722,,0.224855332,0.7490542245
0.44,1174,17020,4754,412,,0.7402269861,0.1980431849,,0.2183337926,0.7402269861
0.45,1174,17053,4721,412,,0.7402269861,0.1991518236,,0.2168182236,0.7402269861
0.46,1174,17068,4706,412,,0.7402269861,0.1996598639,,0.2161293286,0.7402269861
0.47,1165,17077,4697,421,,0.7345523329,0.1987376322,,0.2157159915,0.7345523329
0.48,1165,17081,4693,421,,0.7345523329,0.1988733356,,0.2155322862,0.7345523329
0.49,1165,17081,4693,421,,0.7345523329,0.1988733356,,0.2155322862,0.7345523329
0.5,1165,17081,4693,421,,0.7345523329,0.1988733356,,0.2155322862,0.7345523329
0.51,1162,17170,4604,424,,0.7326607818,0.201526188,,0.2114448425,0.7326607818
0.52,1162,17225,4549,424,,0.7326607818,0.2034669935,,0.2089188941,0.7326607818
0.53,1139,17306,4468,447,,0.7181588903,0.2031389335,,0.205198861,0.7181588903
0.54,1139,17307,4467,447,,0.7181588903,0.2031751695,,0.2051529347,0.7181588903
0.55,1139,17315,4459,447,,0.7181588903,0.2034655234,,0.204785524,0.7181588903
0.56,1139,17317,4457,447,,0.7181588903,0.2035382416,,0.2046936714,0.7181588903
0.57,88,21205,569,1498,,0.0554854981,0.1339421613,,0.0261320841,0.0554854981
0.58,88,21241,533,1498,,0.0554854981,0.1417069243,,0.0244787361,0.0554854981
