threshold,TP,TN,FP,FN,,Recall,Precision,,False Positive Rate,True Positive Rate
0,1696,0,24270,0,,1,0.0653161827,,1,1
0.01,1696,0,24270,0,,1,0.0653161827,,1,1
0.02,1696,18,24252,0,,1,0.0653614922,,0.9992583436,1
0.03,1696,47,24223,0,,1,0.0654346232,,0.9980634528,1
0.04,1696,101,24169,0,,1,0.0655712353,,0.9958384837,1
0.05,1696,172,24098,0,,1,0.0657517252,,0.9929130614,1
0.06,1696,278,23992,0,,1,0.0660230458,,0.9885455295,1
0.07,1686,558,23712,10,,0.9941037736,0.0663831798,,0.9770086527,0.9941037736
0.08,1686,584,23686,10,,0.9941037736,0.0664512061,,0.9759373712,0.9941037736
0.09,1679,1675,22595,17,,0.9899764151,0.0691686578,,0.9309847548,0.9899764151
0.1,1679,1714,22556,17,,0.9899764151,0.069279967,,0.9293778327,0.9899764151
0.11,1679,1787,22483,17,,0.9899764151,0.0694892807,,0.9263700041,0.9899764151
0.12,1679,1808,22462,17,,0.9899764151,0.0695497287,,0.9255047384,0.9899764151
0.13,1637,11082,13188,59,,0.9652122642,0.1104215852,,0.5433868974,0.9652122642
0.14,1625,11232,13038,71,,0.9581367925,0.1108231603,,0.5372064277,0.9581367925
0.15,1625,11293,12977,71,,0.9581367925,0.1112861252,,0.5346930367,0.9581367925
0.16,1625,11300,12970,71,,0.9581367925,0.1113394998,,0.5344046148,0.9581367925
0.17,1625,11348,12922,71,,0.9581367925,0.1117068811,,0.5324268644,0.9581367925
0.18,1625,11374,12896,71,,0.9581367925,0.1119068935,,0.531355583,0.9581367925
0.19,1435,13750,10520,261,,0.8461084906,0.1200334588,,0.4334569427,0.8461084906
0.2,1424,13758,10512,272,,0.8396226415,0.1193029491,,0.4331273177,0.8396226415
0.21,1424,13793,10477,272,,0.8396226415,0.1196538106,,0.4316852081,0.8396226415
0.22,1424,13819,10451,272,,0.8396226415,0.1199157895,,0.4306139267,0.8396226415
0.23,1415,13883,10387,281,,0.8343160377,0.1198949331,,0.4279769262,0.8343160377
0.24,1415,13928,10342,281,,0.8343160377,0.1203538318,,0.4261227853,0.8343160377
0.25,1393,19467,4803,303,,0.8213443396,0.2248224661,,0.1978986403,0.8213443396
0.26,1393,19484,4786,303,,0.8213443396,0.2254410099,,0.1971981871,0.8213443396
0.27,1388,19556,4714,308,,0.8183962264,0.2274664045,,0.1942315616,0.8183962264
0.28,1388,19588,4682,308,,0.8183962264,0.2286655684,,0.1929130614,0.8183962264
0.29,1385,19687,4583,311,,0.8166273585,0.2320710456,,0.1888339514,0.8166273585
0.3,1381,19752,4518,315,,0.8142688679,0.2341074758,,0.1861557478,0.8142688679
0.31,1381,19782,4488,315,,0.8142688679,0.2353041404,,0.1849196539,0.8142688679
0.32,1381,19817,4453,315,,0.8142688679,0.2367158039,,0.1834775443,0.8142688679
0.33,1381,19849,4421,315,,0.8142688679,0.2380213719,,0.1821590441,0.8142688679
0.34,1381,19883,4387,315,,0.8142688679,0.2394244105,,0.1807581376,0.8142688679
