"Instance_number numeric","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,641,0,11846,0,1,1,0.051333,1,0.948667,0.097654,1,1,0
1,640,1,11811,35,0.997045,0.99844,0.051401,0.99844,0.948599,0.09777,0.997117,1.001327,0
2,640,1,11798,48,0.995948,0.99844,0.051455,0.99844,0.948545,0.097867,0.996076,1.002373,0
3,640,1,11761,85,0.992825,0.99844,0.051609,0.99844,0.948391,0.098144,0.993113,1.005364,0
4,640,1,11726,120,0.98987,0.99844,0.051755,0.99844,0.948245,0.098409,0.99031,1.00821,0
5,639,2,11685,161,0.986409,0.99688,0.05185,0.99688,0.94815,0.098573,0.986946,1.010065,0
6,639,2,11640,206,0.98261,0.99688,0.05204,0.99688,0.94796,0.098916,0.983343,1.013767,0
7,639,2,11600,246,0.979233,0.99688,0.05221,0.99688,0.94779,0.099224,0.980139,1.01708,0
8,639,2,11594,252,0.978727,0.99688,0.052236,0.99688,0.947764,0.09927,0.979659,1.017579,0
9,639,2,11560,286,0.975857,0.99688,0.052381,0.99688,0.947619,0.099533,0.976936,1.020415,0
10,639,2,11526,320,0.972987,0.99688,0.052528,0.99688,0.947472,0.099797,0.974213,1.023267,0
11,639,2,11487,359,0.969694,0.99688,0.052697,0.99688,0.947303,0.100102,0.97109,1.026558,0
12,639,2,11434,412,0.96522,0.99688,0.052928,0.99688,0.947072,0.100519,0.966846,1.031064,0
13,639,2,11428,418,0.964714,0.99688,0.052954,0.99688,0.947046,0.100567,0.966365,1.031577,0
14,639,2,11427,419,0.964629,0.99688,0.052959,0.99688,0.947041,0.100574,0.966285,1.031662,0
15,638,3,11417,429,0.963785,0.99532,0.052924,0.99532,0.947076,0.100504,0.965404,1.030988,0
16,638,3,11415,431,0.963616,0.99532,0.052933,0.99532,0.947067,0.10052,0.965244,1.031159,0
17,638,3,11404,442,0.962688,0.99532,0.052981,0.99532,0.947019,0.100607,0.964363,1.032101,0
18,638,3,11402,444,0.962519,0.99532,0.05299,0.99532,0.94701,0.100623,0.964203,1.032272,0
19,638,3,11395,451,0.961928,0.99532,0.053021,0.99532,0.946979,0.100679,0.963642,1.032873,0
20,638,3,11391,455,0.96159,0.99532,0.053038,0.99532,0.946962,0.10071,0.963322,1.033216,0
21,638,3,11388,458,0.961337,0.99532,0.053052,0.99532,0.946948,0.100734,0.963082,1.033474,0
22,638,3,11380,466,0.960662,0.99532,0.053087,0.99532,0.946913,0.100798,0.962441,1.034162,0
23,638,3,11377,469,0.960409,0.99532,0.0531,0.99532,0.9469,0.100822,0.962201,1.03442,0
24,637,4,11373,473,0.960071,0.99376,0.053039,0.99376,0.946961,0.100704,0.9618,1.033229,0
25,637,4,11320,526,0.955597,0.99376,0.053274,0.99376,0.946726,0.101127,0.957556,1.037809,0
26,637,4,11315,531,0.955175,0.99376,0.053297,0.99376,0.946703,0.101167,0.957155,1.038243,0
27,637,4,11299,547,0.953824,0.99376,0.053368,0.99376,0.946632,0.101296,0.955874,1.039635,0
28,637,4,11298,548,0.95374,0.99376,0.053372,0.99376,0.946628,0.101304,0.955794,1.039722,0
29,637,4,11293,553,0.953318,0.99376,0.053395,0.99376,0.946605,0.101344,0.955394,1.040157,0
30,637,4,11290,556,0.953064,0.99376,0.053408,0.99376,0.946592,0.101369,0.955153,1.040419,0
31,637,4,11285,561,0.952642,0.99376,0.053431,0.99376,0.946569,0.101409,0.954753,1.040855,0
32,637,4,11281,565,0.952305,0.99376,0.053449,0.99376,0.946551,0.101441,0.954433,1.041205,0
