"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
0,1153,0,18739,0,1,1,0.057963,1,0.942037,0.109575,1,1,0
1,1153,0,18713,26,0.998613,1,0.058039,1,0.941961,0.10971,0.998693,1.001309,0
2,1152,1,18670,69,0.996318,0.999133,0.058117,0.999133,0.941883,0.109845,0.996481,1.002661,0
3,1152,1,18620,119,0.99365,0.999133,0.058264,0.999133,0.941736,0.110108,0.993967,1.005197,0
4,1152,1,18606,133,0.992903,0.999133,0.058305,0.999133,0.941695,0.110181,0.993264,1.005909,0
5,1152,1,18605,134,0.992849,0.999133,0.058308,0.999133,0.941692,0.110187,0.993213,1.00596,0
6,1152,1,18556,183,0.990234,0.999133,0.058453,0.999133,0.941547,0.110445,0.99075,1.008461,0
7,1152,1,18508,231,0.987673,0.999133,0.058596,0.999133,0.941404,0.1107,0.988337,1.010923,0
8,1152,1,18475,264,0.985912,0.999133,0.058695,0.999133,0.941305,0.110876,0.986678,1.012623,0
9,1152,1,18428,311,0.983404,0.999133,0.058836,0.999133,0.941164,0.111127,0.984315,1.015054,0
10,1152,1,18394,345,0.981589,0.999133,0.058938,0.999133,0.941062,0.11131,0.982606,1.016819,0
11,1152,1,18350,389,0.979241,0.999133,0.059071,0.999133,0.940929,0.111547,0.980394,1.019113,0
12,1152,1,18331,408,0.978227,0.999133,0.059128,0.999133,0.940872,0.11165,0.979439,1.020107,0
13,1152,1,18330,409,0.978174,0.999133,0.059132,0.999133,0.940868,0.111655,0.979389,1.02016,0
14,1152,1,18296,443,0.976359,0.999133,0.059235,0.999133,0.940765,0.111839,0.977679,1.021943,0.000001
15,1152,1,18294,445,0.976253,0.999133,0.059241,0.999133,0.940759,0.11185,0.977579,1.022048,0.000001
16,1152,1,18287,452,0.975879,0.999133,0.059262,0.999133,0.940738,0.111888,0.977227,1.022416,0.000001
17,1152,1,18270,469,0.974972,0.999133,0.059314,0.999133,0.940686,0.111981,0.976372,1.023311,0.000001
18,1152,1,18256,483,0.974225,0.999133,0.059357,0.999133,0.940643,0.112057,0.975669,1.024049,0.000001
19,1152,1,18227,512,0.972677,0.999133,0.059446,0.999133,0.940554,0.112215,0.974211,1.025582,0.000001
20,1152,1,18223,516,0.972464,0.999133,0.059458,0.999133,0.940542,0.112237,0.97401,1.025793,0.000001
21,1152,1,18222,517,0.97241,0.999133,0.059461,0.999133,0.940539,0.112242,0.973959,1.025846,0.000001
22,1152,1,18194,545,0.970916,0.999133,0.059547,0.999133,0.940453,0.112396,0.972552,1.027331,0.000001
23,1152,1,18165,574,0.969369,0.999133,0.059637,0.999133,0.940363,0.112555,0.971094,1.028873,0.000001
24,1152,1,18147,592,0.968408,0.999133,0.059692,0.999133,0.940308,0.112654,0.970189,1.029833,0.000001
25,1152,1,18120,619,0.966967,0.999133,0.059776,0.999133,0.940224,0.112803,0.968832,1.031276,0.000001
26,1152,1,18118,621,0.966861,0.999133,0.059782,0.999133,0.940218,0.112814,0.968731,1.031383,0.000001
27,1152,1,18117,622,0.966807,0.999133,0.059785,0.999133,0.940215,0.11282,0.968681,1.031436,0.000001
28,1152,1,18098,641,0.965793,0.999133,0.059844,0.999133,0.940156,0.112925,0.967726,1.032454,0.000001
29,1152,1,18096,643,0.965687,0.999133,0.05985,0.999133,0.94015,0.112936,0.967625,1.032562,0.000001
30,1152,1,18075,664,0.964566,0.999133,0.059916,0.999133,0.940084,0.113052,0.966569,1.033689,0.000001
31,1152,1,18062,677,0.963872,0.999133,0.059956,0.999133,0.940044,0.113124,0.965916,1.034389,0.000001
32,1152,1,18060,679,0.963765,0.999133,0.059963,0.999133,0.940037,0.113135,0.965815,1.034497,0.000001
33,1152,1,18057,682,0.963605,0.999133,0.059972,0.999133,0.940028,0.113152,0.965665,1.034658,0.000001
34,1152,1,18056,683,0.963552,0.999133,0.059975,0.999133,0.940025,0.113158,0.965614,1.034712,0.000001
35,1152,1,18043,696,0.962858,0.999133,0.060016,0.999133,0.939984,0.11323,0.964961,1.035413,0.000001
36,1152,1,18041,698,0.962751,0.999133,0.060022,0.999133,0.939978,0.113241,0.96486,1.035521,0.000001
37,1152,1,18019,720,0.961577,0.999133,0.060091,0.999133,0.939909,0.113364,0.963754,1.036709,0.000001
38,1152,1,18016,723,0.961417,0.999133,0.0601,0.999133,0.9399,0.11338,0.963603,1.036871,0.000001
39,1152,1,18015,724,0.961364,0.999133,0.060103,0.999133,0.939897,0.113386,0.963553,1.036925,0.000001
40,1152,1,18014,725,0.961311,0.999133,0.060106,0.999133,0.939894,0.113391,0.963503,1.036979,0.000001
41,1152,1,18013,726,0.961257,0.999133,0.06011,0.999133,0.93989,0.113397,0.963453,1.037034,0.000001
42,1152,1,18004,735,0.960777,0.999133,0.060138,0.999133,0.939862,0.113447,0.963,1.037521,0.000001
43,1152,1,18003,736,0.960724,0.999133,0.060141,0.999133,0.939859,0.113453,0.96295,1.037575,0.000001
44,1152,1,17997,742,0.960403,0.999133,0.06016,0.999133,0.93984,0.113486,0.962648,1.0379,0.000001
45,1152,1,17990,749,0.96003,0.999133,0.060182,0.999133,0.939818,0.113525,0.962296,1.03828,0.000001
46,1152,1,17981,758,0.95955,0.999133,0.06021,0.999133,0.93979,0.113576,0.961844,1.038768,0.000001
47,1152,1,17959,780,0.958376,0.999133,0.060279,0.999133,0.939721,0.113699,0.960738,1.039964,0.000001
48,1149,4,17957,782,0.958269,0.996531,0.060138,0.996531,0.939862,0.113431,0.960487,1.037527,0.000001
49,1149,4,17956,783,0.958215,0.996531,0.060141,0.996531,0.939859,0.113437,0.960436,1.037581,0.000001
50,1149,4,17955,784,0.958162,0.996531,0.060144,0.996531,0.939856,0.113442,0.960386,1.037636,0.000001
51,1149,4,17941,798,0.957415,0.996531,0.060189,0.996531,0.939811,0.113521,0.959682,1.038397,0.000001
52,1149,4,17933,806,0.956988,0.996531,0.060214,0.996531,0.939786,0.113566,0.95928,1.038832,0.000001
53,1149,4,17927,812,0.956668,0.996531,0.060233,0.996531,0.939767,0.113599,0.958978,1.039159,0.000001
54,1149,4,17916,823,0.956081,0.996531,0.060268,0.996531,0.939732,0.113661,0.958425,1.039758,0.000001
55,1149,4,17890,849,0.954693,0.996531,0.06035,0.996531,0.93965,0.113807,0.957118,1.041178,0.000001
56,1149,4,17885,854,0.954427,0.996531,0.060366,0.996531,0.939634,0.113836,0.956867,1.041452,0.000001
57,1149,4,17874,865,0.95384,0.996531,0.060401,0.996531,0.939599,0.113898,0.956314,1.042054,0.000001
58,1149,4,17856,883,0.952879,0.996531,0.060458,0.996531,0.939542,0.113999,0.955409,1.043041,0.000001
59,1149,4,17851,888,0.952612,0.996531,0.060474,0.996531,0.939526,0.114028,0.955158,1.043315,0.000001
60,1149,4,17845,894,0.952292,0.996531,0.060493,0.996531,0.939507,0.114062,0.954856,1.043645,0.000001
61,1149,4,17837,902,0.951865,0.996531,0.060518,0.996531,0.939482,0.114107,0.954454,1.044085,0.000001
62,1149,4,17816,923,0.950744,0.996531,0.060585,0.996531,0.939415,0.114226,0.953398,1.045241,0.000001
63,1149,4,17807,932,0.950264,0.996531,0.060614,0.996531,0.939386,0.114277,0.952946,1.045737,0.000001
64,1149,4,17800,939,0.949891,0.996531,0.060636,0.996531,0.939364,0.114317,0.952594,1.046123,0.000001
65,1149,4,17798,941,0.949784,0.996531,0.060643,0.996531,0.939357,0.114328,0.952493,1.046234,0.000001
66,1149,4,17782,957,0.94893,0.996531,0.060694,0.996531,0.939306,0.114419,0.951689,1.047118,0.000001
67,1149,4,17779,960,0.94877,0.996531,0.060704,0.996531,0.939296,0.114437,0.951538,1.047284,0.000001
68,1149,4,17778,961,0.948717,0.996531,0.060707,0.996531,0.939293,0.114442,0.951488,1.047339,0.000001
69,1149,4,17772,967,0.948396,0.996531,0.060726,0.996531,0.939274,0.114476,0.951186,1.047671,0.000001
70,1149,4,17764,975,0.947969,0.996531,0.060752,0.996531,0.939248,0.114522,0.950784,1.048115,0.000001
71,1149,4,17756,983,0.947543,0.996531,0.060778,0.996531,0.939222,0.114568,0.950382,1.048558,0.000001
72,1148,5,17724,1015,0.945835,0.995663,0.060831,0.995663,0.939169,0.114657,0.948723,1.049477,0.000001
73,1148,5,17719,1020,0.945568,0.995663,0.060847,0.995663,0.939153,0.114685,0.948472,1.049756,0.000001
74,1148,5,17685,1054,0.943754,0.995663,0.060957,0.995663,0.939043,0.11488,0.946763,1.051651,0.000001
75,1148,5,17680,1059,0.943487,0.995663,0.060973,0.995663,0.939027,0.114909,0.946511,1.05193,0.000001
76,1148,5,17665,1074,0.942686,0.995663,0.061022,0.995663,0.938978,0.114995,0.945757,1.052769,0.000001
77,1148,5,17664,1075,0.942633,0.995663,0.061025,0.995663,0.938975,0.115001,0.945707,1.052825,0.000001
78,1146,7,17659,1080,0.942366,0.993929,0.060941,0.993929,0.939059,0.114841,0.945355,1.051382,0.000001
79,1146,7,17653,1086,0.942046,0.993929,0.060961,0.993929,0.939039,0.114876,0.945053,1.051717,0.000001
80,1146,7,17650,1089,0.941886,0.993929,0.06097,0.993929,0.93903,0.114893,0.944902,1.051885,0.000001
81,1146,7,17647,1092,0.941726,0.993929,0.06098,0.993929,0.93902,0.11491,0.944752,1.052053,0.000001
82,1146,7,17646,1093,0.941672,0.993929,0.060983,0.993929,0.939017,0.114916,0.944701,1.052109,0.000001
83,1146,7,17641,1098,0.941406,0.993929,0.061,0.993929,0.939,0.114945,0.94445,1.052389,0.000001
84,1146,7,17640,1099,0.941352,0.993929,0.061003,0.993929,0.938997,0.114951,0.9444,1.052445,0.000001
85,1146,7,17634,1105,0.941032,0.993929,0.061022,0.993929,0.938978,0.114985,0.944098,1.052781,0.000001
86,1146,7,17608,1131,0.939645,0.993929,0.061107,0.993929,0.938893,0.115135,0.942791,1.054241,0.000001
87,1146,7,17604,1135,0.939431,0.993929,0.06112,0.993929,0.93888,0.115159,0.94259,1.054466,0.000001
88,1146,7,17588,1151,0.938577,0.993929,0.061172,0.993929,0.938828,0.115251,0.941786,1.055366,0.000001
89,1146,7,17586,1153,0.938471,0.993929,0.061179,0.993929,0.938821,0.115263,0.941685,1.055479,0.000001
90,1146,7,17585,1154,0.938417,0.993929,0.061182,0.993929,0.938818,0.115269,0.941635,1.055535,0.000001
91,1146,7,17579,1160,0.938097,0.993929,0.061202,0.993929,0.938798,0.115303,0.941333,1.055874,0.000001
