"Instance_number numeric","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,641,0,11846,0,1,1,0.051333,1,0.948667,0.097654,1,1,0.010647
1,620,21,10865,981,0.917187,0.967239,0.053983,0.967239,0.946017,0.10226,0.919757,1.051625,0.010793
2,620,21,10864,982,0.917103,0.967239,0.053988,0.967239,0.946012,0.102268,0.919676,1.051716,0.010835
3,604,37,9878,1968,0.833868,0.942278,0.057623,0.942278,0.942377,0.108604,0.839433,1.122517,0.010844
4,604,37,9876,1970,0.833699,0.942278,0.057634,0.942278,0.942366,0.108623,0.839273,1.122731,0.010896
5,604,37,9872,1974,0.833361,0.942278,0.057656,0.942278,0.942344,0.108662,0.838953,1.12316,0.010932
6,604,37,9871,1975,0.833277,0.942278,0.057661,0.942278,0.942339,0.108672,0.838872,1.123267,0.010941
7,591,50,8894,2952,0.750802,0.921997,0.062309,0.921997,0.937691,0.116729,0.75959,1.213809,0.010949
8,591,50,8891,2955,0.750549,0.921997,0.062329,0.921997,0.937671,0.116764,0.75935,1.214193,0.010981
9,591,50,8889,2957,0.75038,0.921997,0.062342,0.921997,0.937658,0.116787,0.75919,1.214449,0.011002
10,577,64,7882,3964,0.665372,0.900156,0.068211,0.900156,0.931789,0.126813,0.677425,1.328792,0.011003
11,577,64,7881,3965,0.665288,0.900156,0.068219,0.900156,0.931781,0.126827,0.677344,1.328949,0.011032
12,577,64,7880,3966,0.665203,0.900156,0.068228,0.900156,0.931772,0.126841,0.677264,1.329106,0.011036
13,577,64,7879,3967,0.665119,0.900156,0.068236,0.900156,0.931764,0.126855,0.677184,1.329263,0.011055
14,565,76,6877,4969,0.580534,0.881435,0.07592,0.881435,0.92408,0.1398,0.59598,1.478968,0.011058
15,565,76,6876,4970,0.580449,0.881435,0.075931,0.881435,0.924069,0.139817,0.5959,1.479167,0.011082
