"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
0,1133,0,19557,0,1,1,0.054761,1,0.945239,0.103835,1,1,0.011511
1,1107,26,17844,1713,0.91241,0.977052,0.058414,0.977052,0.941586,0.110237,0.91595,1.066709,0.011645
2,1085,48,16125,3432,0.824513,0.957635,0.063045,0.957635,0.936955,0.118301,0.831803,1.151276,0.011691
3,1064,69,14434,5123,0.738048,0.9391,0.068654,0.9391,0.931346,0.127954,0.749058,1.253708,0.011759
4,1064,69,14433,5124,0.737997,0.9391,0.068658,0.9391,0.931342,0.127962,0.749009,1.253789,0.011807
5,1064,69,14432,5125,0.737945,0.9391,0.068663,0.9391,0.931337,0.127969,0.748961,1.25387,0.011813
6,1044,89,12731,6826,0.650969,0.921447,0.075789,0.921447,0.924211,0.140059,0.665781,1.384011,0.011851
7,1044,89,12728,6829,0.650816,0.921447,0.075806,0.921447,0.924194,0.140087,0.665636,1.384312,0.011854
8,1025,108,11001,8556,0.56251,0.904678,0.085232,0.904678,0.914768,0.155787,0.581247,1.556443,0.01186
9,1005,128,9299,10258,0.475482,0.887026,0.097535,0.887026,0.902465,0.175745,0.498018,1.78111,0.011891
10,1005,128,9298,10259,0.475431,0.887026,0.097544,0.887026,0.902456,0.175761,0.49797,1.781283,0.011894
11,1005,128,9296,10261,0.475329,0.887026,0.097563,0.887026,0.902437,0.175791,0.497873,1.781629,0.011927
12,983,150,7552,12005,0.386153,0.867608,0.115173,0.867608,0.884827,0.203351,0.412518,2.1032,0.011935
13,983,150,7550,12007,0.386051,0.867608,0.1152,0.867608,0.8848,0.203393,0.412421,2.103693,0.011937
14,983,150,7549,12008,0.386,0.867608,0.115213,0.867608,0.884787,0.203414,0.412373,2.10394,0.011952
15,966,167,5868,13689,0.300046,0.852604,0.141352,0.852604,0.858648,0.2425,0.330304,2.581266,0.011977
16,966,167,5866,13691,0.299944,0.852604,0.141393,0.852604,0.858607,0.242561,0.330208,2.582021,0.011997
17,947,186,4165,15392,0.212967,0.835834,0.18525,0.835834,0.81475,0.303283,0.247076,3.382904,0.012021
18,947,186,4164,15393,0.212916,0.835834,0.185287,0.835834,0.814713,0.303331,0.247028,3.383566,0.012029
19,947,186,4162,15395,0.212814,0.835834,0.185359,0.835834,0.814641,0.303428,0.246931,3.384891,0.012036
20,947,186,4159,15398,0.21266,0.835834,0.185468,0.835834,0.814532,0.303574,0.246786,3.38688,0.012063
21,947,186,4156,15401,0.212507,0.835834,0.185577,0.835834,0.814423,0.30372,0.246641,3.388871,0.012088
22,931,202,2438,17119,0.124661,0.821712,0.276343,0.821712,0.723657,0.413594,0.162832,5.046372,0.012109
23,931,202,2437,17120,0.12461,0.821712,0.276425,0.821712,0.723575,0.413686,0.162784,5.04787,0.012111
24,931,202,2436,17121,0.124559,0.821712,0.276507,0.821712,0.723493,0.413778,0.162736,5.049369,0.012123
